antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Dress', 'Mobile'})","frozenset({'Shoes', 'Headphones'})",0.4006024096385542,0.40963855421686746,0.1706827309236948,0.4260651629072682,1.0401002506265666,1.0,0.006580539023564147,1.0286210343557638,0.06432160804020111,0.2668759811616955,0.02782466370006657,0.42136591478696744
"frozenset({'Dress', 'Headphones'})","frozenset({'Shoes', 'Mobile'})",0.42369477911646586,0.392570281124498,0.1706827309236948,0.40284360189573465,1.026169379765094,1.0,0.004352752374961716,1.0172037355772297,0.04425087108013959,0.26438569206842927,0.016912772707688782,0.41881310529569343
"frozenset({'Shoes', 'Mobile'})","frozenset({'Dress', 'Headphones'})",0.392570281124498,0.42369477911646586,0.1706827309236948,0.4347826086956522,1.026169379765094,1.0,0.004352752374961716,1.0196169292554838,0.04198347107438037,0.26438569206842927,0.01923950916527807,0.41881310529569343
"frozenset({'Shoes', 'Headphones'})","frozenset({'Dress', 'Mobile'})",0.40963855421686746,0.4006024096385542,0.1706827309236948,0.4166666666666667,1.0401002506265664,1.0,0.006580539023564147,1.0275387263339073,0.0653061224489797,0.2668759811616955,0.026800670016750475,0.42136591478696744
frozenset({'Dress'}),"frozenset({'Headphones', 'Shoes', 'Mobile'})",0.6566265060240963,0.2570281124497992,0.1706827309236948,0.25993883792048933,1.0113245412844039,1.0,0.0019112594958146378,1.003933087722792,0.03261093911248802,0.22972972972972977,0.003917679147037021,0.4620006689602447
frozenset({'Shoes'}),"frozenset({'Dress', 'Headphones', 'Mobile'})",0.6305220883534136,0.2660642570281124,0.1706827309236948,0.2707006369426752,1.017425790169451,1.0,0.002923339946129949,1.0063573069570861,0.04635549872122837,0.23513139695712315,0.0063171469150540786,0.4561050354524697
frozenset({'Headphones'}),"frozenset({'Dress', 'Shoes', 'Mobile'})",0.6516064257028112,0.25301204819277107,0.1706827309236948,0.26194144838212635,1.0352923912245946,1.0,0.005818454541055812,1.012098498377644,0.09784709272758133,0.23255813953488377,0.01195387444704014,0.4682723114926505
"frozenset({'Dress', 'Mobile'})","frozenset({'Laptop', 'Shoes'})",0.4006024096385542,0.38755020080321284,0.1566265060240964,0.3909774436090226,1.008843351903074,1.0,0.0013729617264237881,1.0056274480638605,0.014624404071640474,0.24801271860095386,0.005595957105879524,0.39756126066461495
"frozenset({'Laptop', 'Shoes'})","frozenset({'Dress', 'Mobile'})",0.38755020080321284,0.4006024096385542,0.1566265060240964,0.4041450777202073,1.008843351903074,1.0,0.0013729617264237881,1.0059455212152961,0.0143127364438842,0.24801271860095386,0.00591038092014487,0.39756126066461495
"frozenset({'Laptop', 'Shoes', 'Headphones'})",frozenset({'Mobile'}),0.2459839357429719,0.6315261044176707,0.15562248995983935,0.6326530612244897,1.0017844975828167,1.0,0.0002772132707536956,1.0030678268630076,0.002362441475881604,0.21557719054242,0.003058444086081177,0.43953797735310335
frozenset({'Mobile'}),"frozenset({'Laptop', 'Shoes', 'Headphones'})",0.6315261044176707,0.2459839357429719,0.15562248995983935,0.246422893481717,1.001784497582817,1.0,0.0002772132707536956,1.000582498771457,0.004834314845741375,0.21557719054242,0.0005821596641679494,0.43953797735310335
"frozenset({'Laptop', 'Dress', 'Shoes', 'Headphones'})",frozenset({'Mobile'}),0.1566265060240964,0.6315261044176707,0.10140562248995984,0.6474358974358974,1.0251926134279075,1.0,0.002491895292011423,1.0451259583789703,0.02913719943422918,0.1476608187134503,0.0431775309159504,0.4040041172394113
"frozenset({'Laptop', 'Shoes', 'Headphones'})","frozenset({'Dress', 'Mobile'})",0.2459839357429719,0.4006024096385542,0.10140562248995984,0.4122448979591837,1.0290624520484886,1.0,0.002863865098950022,1.0198084002677377,0.0374550104810748,0.1860036832412523,0.019423648856527562,0.3326888650196921
"frozenset({'Dress', 'Mobile'})","frozenset({'Laptop', 'Shoes', 'Headphones'})",0.4006024096385542,0.2459839357429719,0.10140562248995984,0.2531328320802005,1.0290624520484886,1.0,0.002863865098950022,1.0095718444246786,0.04711677197870549,0.1860036832412523,0.009481092878668015,0.3326888650196921
frozenset({'Mobile'}),"frozenset({'Laptop', 'Dress', 'Shoes', 'Headphones'})",0.6315261044176707,0.1566265060240964,0.10140562248995984,0.16057233704292528,1.0251926134279075,1.0,0.002491895292011423,1.0047006206644762,0.06669004775136923,0.1476608187134503,0.004678628208039974,0.4040041172394113
